Date,Weighted_Price
2011-12-31,4.471602874575
2012-01-01,4.806666666666667
2012-01-02,5.0
2012-01-03,5.2524999999999995
2012-01-04,5.208159313655555
2012-01-05,6.2841271510761905
2012-01-06,6.438999047607143
2012-01-07,6.8
2012-01-08,6.95
2012-01-09,6.582769666666667
2012-01-10,6.603
2012-01-11,7.1206848423375
2012-01-12,7.0625
2012-01-13,6.96923652441875
2012-01-14,6.414081197580001
2012-01-15,7.15
2012-01-16,6.714285714285714
2012-01-17,6.1483461580375005
2012-01-18,6.240688438936111
2012-01-19,6.225714285714285
2012-01-20,6.834999999999999
2012-01-21,6.386
2012-01-22,6.485
2012-01-23,6.4075
2012-01-24,6.495555555555556
2012-01-25,6.283663797786111
2012-01-26,6.184091794075
2012-01-27,5.651428571428572
2012-01-28,4.91
2012-01-29,5.696
2012-01-30,5.545
2012-01-31,5.614045455656098
2012-02-01,5.784578347825
2012-02-02,6.170195246214035
2012-02-03,6.205149061870371
2012-02-04,6.0954747419625
2012-02-05,5.8392026684291665
2012-02-06,5.52625
2012-02-07,5.672
2012-02-08,5.7420697509666665
2012-02-09,5.783571428571428
2012-02-10,5.876923076923077
2012-02-11,5.605
2012-02-12,5.6375
2012-02-13,5.648181818181818
2012-02-14,5.19323665560303
2012-02-15,4.945263157894737
2012-02-16,4.577144055188235
2012-02-17,4.6900113628031255
2012-02-18,4.398910980869231
2012-02-19,4.331666666666666
2012-02-20,4.557995986628572
2012-02-21,4.48421715044375
2012-02-22,4.542749342733334
2012-02-23,4.8896573239
2012-02-24,5.13874962668
2012-02-25,5.038870406285715
2012-02-26,4.954744525542857
2012-02-27,5.049619004523077
2012-02-28,4.991630873960714
2012-02-29,4.95272184926
2012-03-01,5.003911482863333
2012-03-02,4.765098423823529
2012-03-03,4.760811041077777
2012-03-04,4.793333333333333
2012-03-05,4.949657762719513
2012-03-06,4.996287446934783
2012-03-07,5.059947778827586
2012-03-08,4.9724712572263154
2012-03-09,5.018074118425
2012-03-10,4.914899488455556
2012-03-11,4.926666666666667
2012-03-12,4.9590000000000005
2012-03-13,5.0746939370225
2012-03-14,5.374872174188462
2012-03-15,5.33782869389375
2012-03-16,5.34076923076923
2012-03-17,5.402222222222223
2012-03-18,5.318928475693334
2012-03-19,5.11387265022
2012-03-20,4.910823482337499
2012-03-21,4.9366666666666665
2012-03-22,4.8782909672666666
2012-03-23,4.76245071715
2012-03-24,4.731428571428571
2012-03-25,4.642
2012-03-26,4.626121242606667
2012-03-27,4.785504216329412
2012-03-28,4.892921830539583
2012-03-29,4.827698761333333
2012-03-30,4.836740067071429
2012-03-31,4.9086644633
2012-04-01,4.816418011217647
2012-04-02,4.932927819879546
2012-04-03,4.968666666666667
2012-04-04,4.936244503809523
2012-04-05,4.959276106614285
2012-04-06,4.923051811154167
2012-04-07,4.8301927848499995
2012-04-08,4.769042307006667
2012-04-09,4.799090909090909
2012-04-10,4.822065650461538
2012-04-11,4.867793801124242
2012-04-12,4.843435406215789
